audio	text	duration	confidence
segment_0000.wav	IZLAYƐ́LI VÍ LƐ́Ɛ TƆN Tɔ́gbó tɔgbo	6.786	0.5429
segment_0002.wav	wǒ lɛ́ɛ, bɛ́ sín Adámu jí yi Esawu ví	8.672	0.5467
segment_0003.wav	Adámu ji Sɛ́ti, bɔ Sɛ́ti ji Enɔci. Enɔci ji Kenáni, bɔ	8.474	0.4313
segment_0004.wav	Kenáni ji Maxalalɛ́li, Maxalalɛ́li ji Yɛlɛ́di. Yɛlɛ́di ji	8.672	0.4615
segment_0008.wav	Magɔ́gi, Madayi, Yaváni, Tubalu, Mɛcɛ́ki	7.841	0.4872
segment_0012.wav	Misilayimu, Púti kpó Kanáa kpó. Kúci	7.744	0.4091
segment_0014.wav	Savuteka kpán. Hlaema ví lɛ́ɛ ɖíe: Saba kpódó Dedáni kpó.	8.331	0.4081
segment_0015.wav	Kúci wɛ lɛ́ ji Nɛmulɔ́di; Nɛmulɔ́di ɔ́	5.718	0.4952
segment_0016.wav	wɛ nyí ahwanfuntɔ́ syɛ́nsyɛ́n nukɔntɔn e ɖo ayǐkúngban ɔ́ jí é. Lǔdinu	8.025	0.4716
segment_0018.wav	lɛ́ɛ, Patlɔ́sinu lɛ́ɛ, Kasluaxinu lɛ́ɛ kpódó	7.71	0.4842
segment_0020.wav	wɛ Filisitɛ́ɛn lɛ́ɛ gosín. Kanáa ji Sidɔ́ɔn, bó ji Xɛti.	7.937	0.664
segment_0024.wav	Semáa ví lɛ́ɛ, kpódó Hamátinu lɛ́ɛ kpó sín tɔ́gbó lɛ́ɛ	8.172	0.7057
segment_0026.wav	Aapakisadu, Lǔdi, Alamu, Wúsi, Huli,	8.002	0.9355
segment_0028.wav	bɔ Cɛláxi ji Ebɛ́ɛ. Vǐ súnnu we wɛ Ebɛ́ɛ ji. Mɛ ɖokpó nɔ nyí	8.687	0.4143
segment_0029.wav	Pɛlɛ́gi, Pɛlɛ́gi sín tínmɛ wɛ nyí “Mima”, ɖó hwetɔnnu wɛ è mǎ ayǐkúngban ɔ́.	8.85	0.4629
segment_0030.wav	Nɔví tɔn ká nɔ nyí Yokitáni. Yokitáni ji Alumɔdadi, Cɛlɛ́fu,	8.794	0.523
